Product,Rate Unit,Unit,Price 2014,Price 2015,Price 2016,Price 2017,Price 2018,Price 2019,Price 2020,Price 2021,Price 2022,R Price 2014,R Price 2015,R Price 2016,R Price 2017,R Price 2018,R Price 2019,R Price 2020,R Price 2021,R Price 2022,Average R Price
Spreader 90,fluid ounce,fl oz,,,,,0.183594,,,,0.317578,,,,,0.251324352,,,,0.294105128,0.27271474
Sulfur,pound-mass,oz,0.065625,0.0625,0.0625,0.0625,0.06875,,,,0.068125,0.073215857,0.079198274,0.087640879,0.085063604,0.094112821,,,,0.063089735,0.080386861
Super Spread MSO,fluid ounce,fl oz,0.222656,0.222656,0.179688,,,0.15625,,,0.285156,0.248410664,0.282143534,0.251968227,,,0.213021048,,,0.264079508,0.251924596
Superb HC,fluid ounce,fl oz,,,,,,0.15625,,,0.372813,,,,,,0.213021048,,,0.345257591,0.279139319
Superior Spray Oil,fluid ounce,fl oz,0.0859375,0.0859375,0.0859375,0.0859375,0.0976563,,,,0.0838281,0.095877908,0.108897626,0.120506208,0.116962456,0.133683052,,,,0.077632185,0.108926573
Syl-Tac,fluid ounce,fl oz,,,0.515625,,0.390625,,,,0.580078,,,0.723037249,,0.534731935,,,,0.537203189,0.598324124
Thiosol,fluid ounce,fl oz,0.0117651,0.0117651,0.0111981,0.0111981,,0.0112831,,,0.025625,0.013125971,0.01490841,0.015702581,0.015240812,,0.015382642,,,0.023731001,0.01634857
Transfix,fluid ounce,fl oz,,,,,0.375,,,,,,,,,0.513342657,,,,,0.513342657
TriTek,fluid ounce,fl oz,,,,,,0.09375,,,0.0838281,,,,,,0.127812629,,,0.077632185,0.102722407
Velum Prime,fluid ounce,fl oz,,,,,,,,10.0703,9.58594,,,,,,,,11.19876256,8.877422588,10.03809258
Vivando,fluid ounce,fl oz,,,,1.94531,1.91406,,,,2.35156,,,,2.647601274,2.620183058,,,,2.17775115,2.481845161
WA-100,fluid ounce,fl oz,,,,,0.183594,,,,0.317578,,,,,0.251324352,,,,0.294105128,0.27271474
Westlink Crop Oil,fluid ounce,fl oz,,,,,,0.101563,,,,,,,,,0.138464363,,,,0.138464363
